style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Porco Rosso Adriatic Coast | Адриатическое побережье Порко Росс,"Studio Ghibli style, Porco Rosso Adriatic coastal village scene, 1930s seaplane flying over blue waters, vintage Italian architecture, hand-painted watercolor skies, nostalgic aviation aesthetic, romantic atmosphere","modern technology, anime style, 3D CGI, sharp mechanical designs, photorealistic textures, dark war themes, cartoon comedy"
Whisper of the Heart Antiques Shop | Магазин антиквариата Шепот сердца,"Studio Ghibli style, Whisper of the Heart antique shop interior scene, detailed bookshelves, dusty sunlight through windows, cat statue transformation sequence, hand-painted textures, nostalgic urban Japan","fantasy landscape, anime style, 3D rendering, bright magical effects, cartoon proportions, outdoor adventure setting, digital effects"
Tales from Earthsea Castle | Замок Рассказы Земноморья,"Studio Ghibli style, Tales from Earthsea castle architecture scene, ancient stone walls with magical carvings, misty mountain background, soft color palette, European medieval aesthetic, spiritual atmosphere","modern city aesthetic, anime style, 3D CGI, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Arrietty Borrower's House | Дом заимодавца Арриетти,"Studio Ghibli style, Arrietty borrower's miniature house scene, detailed everyday objects as furniture, leaf canopy ceiling, soft natural lighting, hand-painted textures, perspective of small creatures in human world","fantasy landscape, anime style, 3D rendering, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Ocean Waves Beach | Пляж Океанские волны,"Studio Ghibli style, Ocean Waves beach sunset scene, nostalgic high school romance, soft watercolor skies, gentle ocean waves, hand-painted textures, realistic human emotions, Japanese coastal town","fantasy elements, anime style, 3D CGI, magical creatures, cartoon proportions, bright fantasy colors, digital effects"
Pom Poko Tanuki Transformation | Трансформация тануки Пом Поко,"Studio Ghibli style, Pom Poko tanuki transformation scene, shape-shifting raccoon dogs, soft watercolor backgrounds, Japanese folklore elements, comedic timing, detailed animal expressions, traditional Japanese aesthetic","modern city aesthetic, anime style, 3D rendering, scary horror elements, photorealistic textures, dark themes, digital effects"
The Wind Rises Aircraft Design | Конструкция самолета Ветер крепчает,"Studio Ghibli style, The Wind Rises aircraft workshop scene, detailed engineering drawings, 1920s aviation aesthetic, soft pencil sketch textures, nostalgic dream sequence, hand-painted backgrounds, romantic atmosphere","fantasy elements, anime style, 3D CGI, magical creatures, cartoon proportions, bright cheerful colors, digital effects"
My Neighbors the Yamadas Family Life | Семейная жизнь Мои соседи Ямады,"Studio Ghibli style, My Neighbors the Yamadas family life scene, minimalist watercolor backgrounds, simple character designs, Japanese daily life moments, gentle humor, soft pastel colors, traditional manga aesthetic influence","detailed animation, anime style, 3D rendering, fantasy elements, photorealistic textures, dramatic action sequences, digital effects"
Earwig and the Witch Witch House | Дом ведьмы Арриетти и ведьма,"Studio Ghibli style, Earwig and the Witch magical house interior scene, floating spell books, bubbling cauldrons, detailed potion ingredients, hand-painted textures, European witch aesthetic, soft magical lighting","dark horror themes, anime style, 3D CGI, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Spirited Away Train | Поезд Унесенных призраками,"Studio Ghibli style, Spirited Away underwater train scene, gentle movement through flooded landscapes, paper lantern lights glowing, soft reflection effects, spiritual journey atmosphere, hand-painted watercolor backgrounds","3D CGI rendering, anime style, cartoon comedy, dark mature themes, sharp edges, photorealistic textures, digital effects"
Totoro Bus Stop | Остановка Тоторо,"Studio Ghibli style, My Neighbor Totoro rain at bus stop scene, soot sprites dancing, umbrella sharing moment, soft rain effects, hand-painted textures, childlike wonder atmosphere, nostalgic Japanese countryside","dark horror themes, anime style, 3D CGI, sharp lines, photorealistic textures, cartoon comedy, adult themes"
Mononoke Emishi Village | Деревня Эмиси Принцессы Мононокэ,"Studio Ghibli style, Princess Mononoke Emishi village scene, ancient Japanese forest settlement, detailed thatched roofs, smoke rising from chimneys, soft morning mist, harmonious nature integration, spiritual atmosphere","modern architecture, anime style, 3D rendering, bright flat colors, cartoon proportions, digital effects, human technology focus"
Howl's Castle Kitchen | Кухня замка Ходячего замка,"Studio Ghibli style, Howl's Moving Castle kitchen scene, animated fire demon Calcifer, floating pots and pans, cozy domestic magic, warm lighting, hand-painted textures, European cottage aesthetic","dark dystopian themes, anime style, 3D CGI, sharp mechanical edges, photorealistic textures, cartoon comedy, modern technology"
Ponyo Goldfish Transformation | Трансформация золотой рыбки Поньо,"Studio Ghibli style, Ponyo goldfish transformation scene, magical water effects, detailed ocean waves, childlike simplicity, bright color palette, hand-painted animation, gentle movement","dark mature themes, anime style, 3D rendering, realistic ocean physics, photorealistic textures, adult drama, complex character designs"
Kiki Flying Over Town | Кики над городом,"Studio Ghibli style, Kiki flying over coastal town scene, black cat Jiji companion, soft cloud movement, detailed European architecture below, gentle wind effects, hand-painted watercolor skies, nostalgic summer atmosphere","modern city aesthetic, anime style, 3D CGI, sharp architectural lines, photorealistic textures, dark dramatic themes, cartoon comedy"
Nausicaa Glider Flight | Полет на планере Навсикая,"Studio Ghibli style, Nausicaa glider flight scene, wind currents visualization, detailed toxic jungle below, blue dress flowing, hand-painted backgrounds, environmental harmony theme, spiritual connection to nature","urban setting, anime style, 3D rendering, bright cheerful colors, cartoon proportions, modern technology focus, digital effects"
Laputa Robot Garden | Сад роботов Лапуты,"Studio Ghibli style, Castle in the Sky Laputa robot garden scene, ancient mechanical guardians covered in plants, soft sunlight through vines, peaceful coexistence theme, detailed steampunk-organic integration, hand-painted textures","modern robotics, anime style, 3D CGI, sharp clean lines, photorealistic textures, dark dystopian themes, cartoon comedy"
Fireflies Summer Night | Летняя ночь Могила светлячков,"Studio Ghibli style, Grave of the Fireflies summer night scene, firefly illumination in cave, soft moonlight, hand-painted watercolor textures, emotional family bonds, wartime nostalgia, gentle atmosphere","bright cheerful colors, anime style, 3D rendering, cartoon comedy, magical fantasy elements, digital effects, contemporary setting"
Tokyo Commute | Поездка в Токио Повзрослевшие дети,"Studio Ghibli style, Only Yesterday Tokyo commute scene, detailed train interior, city landscape through windows, nostalgic adult perspective, soft color palette, hand-painted textures, realistic human emotions","fantasy landscape, anime style, 3D CGI, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Porco Seaplane | Гидросамолет Порко Росс,"Studio Ghibli style, Porco Rosso vintage seaplane scene, detailed 1930s aircraft design, Adriatic coastline below, hand-painted watercolor skies, nostalgic aviation aesthetic, romantic atmosphere, soft cloud movement","modern jets, anime style, 3D rendering, sharp mechanical designs, photorealistic textures, dark war themes, cartoon comedy"
Antique Cat Statue | Статуя кошки Шепот сердца,"Studio Ghibli style, Whisper of the Heart antique cat statue transformation scene, moonlight through shop windows, magical glow effects, hand-painted textures, nostalgic urban Japan, spiritual cat kingdom connection","fantasy landscape, anime style, 3D CGI, bright magical effects, cartoon proportions, outdoor adventure setting, digital effects"
Earthsea School | Школа Рассказы Земноморья,"Studio Ghibli style, Tales from Earthsea wizard school scene, ancient stone library, floating spell books, soft candlelight, European medieval aesthetic, magical learning atmosphere, hand-painted textures","modern architecture, anime style, 3D rendering, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Arrietty Miniature Kitchen | Миниатюрная кухня Арриетти,"Studio Ghibli style, Arrietty borrower's miniature kitchen scene, teacup furniture, detailed everyday objects scaled up, soft natural lighting, hand-painted textures, perspective of small creatures, cozy atmosphere","fantasy landscape, anime style, 3D CGI, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Ocean Waves School | Школа Океанские волны,"Studio Ghibli style, Ocean Waves high school classroom scene, nostalgic teenage romance, soft pencil sketch aesthetic, detailed desk carvings, hand-painted textures, realistic human emotions, Japanese coastal town","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright fantasy colors, digital effects"
Pom Poko Forest | Лес Пом Поко,"Studio Ghibli style, Pom Poko forest spirit scene, tanuki creatures in natural habitat, seasonal changes visualization, Japanese folklore elements, hand-painted watercolor backgrounds, environmental themes","modern city aesthetic, anime style, 3D CGI, scary horror elements, photorealistic textures, dark themes, digital effects"
Wind Rises Dream Flight | Полет во сне Ветер крепчает,"Studio Ghibli style, The Wind Rises dream flight sequence scene, Caproni aircraft soaring over clouds, soft pencil sketch textures, nostalgic aviation dreams, hand-painted watercolor skies, romantic atmosphere","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright cheerful colors, digital effects"
Yamadas Bath Time | Время купания Мои соседи Ямады,"Studio Ghibli style, My Neighbors the Yamadas family bath time scene, minimalist watercolor backgrounds, simple character interactions, Japanese daily life moment, gentle humor, soft pastel colors","detailed animation, anime style, 3D CGI, fantasy elements, photorealistic textures, dramatic action sequences, digital effects"
Earwig Magic Room | Магическая комната Арриетти и ведьма,"Studio Ghibli style, Earwig and the Witch magical room scene, floating musical instruments, bubbling potions, detailed spell ingredients, hand-painted textures, European witch house aesthetic, soft magical lighting","dark horror themes, anime style, 3D rendering, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Spirited Away Food | Еда Унесенных призраками,"Studio Ghibli style, Spirited Away bathhouse food scene, detailed steamed buns, gentle steam rising, hand-painted textures, spiritual nourishment theme, warm lighting, cozy atmosphere","3D CGI rendering, anime style, cartoon comedy, dark mature themes, sharp edges, photorealistic textures, digital effects"
Totoro House | Дом Тоторо,"Studio Ghibli style, My Neighbor Totoro rural Japanese house scene, detailed wooden construction, garden with vegetables, soft afternoon light, hand-painted textures, nostalgic countryside atmosphere, family home comfort","dark horror themes, anime style, 3D CGI, sharp lines, photorealistic textures, cartoon comedy, adult themes"
Mononoke Forest Spirit | Лесной дух Принцессы Мононокэ,"Studio Ghibli style, Princess Mononoke forest spirit scene, kodama heads floating through ancient trees, soft dappled sunlight, spiritual atmosphere, detailed moss and lichen textures, environmental harmony theme","modern city aesthetic, anime style, 3D rendering, bright flat colors, cartoon proportions, digital effects, human technology focus"
Howl's Flying Scene | Полет Ходячего замка,"Studio Ghibli style, Howl's Moving Castle flying scene, Sophie walking across clouds, detailed wind effects, soft watercolor skies, hand-painted textures, European countryside below, magical transformation","dark dystopian themes, anime style, 3D CGI, sharp mechanical edges, photorealistic textures, cartoon comedy, modern technology"
Ponyo Storm | Шторм Поньо,"Studio Ghibli style, Ponyo ocean storm scene, towering waves with fish eyes, magical water effects, hand-painted animation, bright color contrast, childlike wonder atmosphere, gentle movement despite chaos","dark mature themes, anime style, 3D rendering, realistic ocean physics, photorealistic textures, adult drama, complex character designs"
Kiki Bakery | Пекарня Кики,"Studio Ghibli style, Kiki delivery to bakery scene, detailed bread varieties, warm oven glow, cozy European shop interior, hand-painted textures, nostalgic small town atmosphere, gentle customer interactions","modern city aesthetic, anime style, 3D CGI, sharp architectural lines, photorealistic textures, dark dramatic themes, cartoon comedy"
Nausicaa Valley | Долина Навсикая,"Studio Ghibli style, Nausicaa Valley of the Wind valley scene, giant mutant insects grazing peacefully, detailed fungal environment, soft atmospheric perspective, environmental balance theme, hand-painted backgrounds","urban setting, anime style, 3D rendering, bright cheerful colors, cartoon proportions, modern technology focus, digital effects"
Laputa Garden | Сад Лапуты,"Studio Ghibli style, Castle in the Sky Laputa garden scene, ancient flowers and plants growing through stone, mechanical elements covered in vines, soft sunlight effects, peaceful abandonment, hand-painted textures","modern architecture, anime style, 3D CGI, sharp clean lines, photorealistic textures, dark dystopian themes, cartoon comedy"
Fireflies Field | Поле Могила светлячков,"Studio Ghibli style, Grave of the Fireflies countryside field scene, summer grass gently swaying, firefly glow at dusk, hand-painted watercolor textures, emotional sibling bond, wartime nostalgia","bright cheerful colors, anime style, 3D rendering, cartoon comedy, magical fantasy elements, digital effects, contemporary setting"
Tokyo Apartment | Квартира Токио Повзрослевшие дети,"Studio Ghibli style, Only Yesterday Tokyo apartment scene, small living space details, city view from window, nostalgic adult life, soft color palette, hand-painted textures, realistic human proportions","fantasy landscape, anime style, 3D CGI, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Porco Cafe | Кафе Порко Росс,"Studio Ghibli style, Porco Rosso Adriatic coast cafe scene, vintage 1930s interior design, detailed coffee cups, sea view through windows, hand-painted textures, nostalgic aviation romance, soft lighting","modern city aesthetic, anime style, 3D rendering, sharp architectural lines, photorealistic textures, dark war themes, cartoon comedy"
Antique Bookshop | Книжный магазин Шепот сердца,"Studio Ghibli style, Whisper of the Heart antique bookshop interior scene, detailed bookshelves, dust motes in sunlight, old paper textures, nostalgic literary atmosphere, hand-painted backgrounds","fantasy landscape, anime style, 3D CGI, bright magical effects, cartoon proportions, outdoor adventure setting, digital effects"
Earthsea Harbor | Гавань Рассказы Земноморья,"Studio Ghibli style, Tales from Earthsea harbor town scene, medieval ships in dock, stone buildings with magical carvings, soft mist effects, hand-painted watercolor backgrounds, European coastal aesthetic","modern port, anime style, 3D rendering, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Arrietty Bedroom | Спальня Арриетти,"Studio Ghibli style, Arrietty borrower's bedroom scene, thimble bed, button decorations, leaf window coverings, soft natural lighting, hand-painted textures, miniature perspective, cozy atmosphere","fantasy landscape, anime style, 3D CGI, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Ocean Waves Beach Walk | Прогулка по пляжу Океанские волны,"Studio Ghibli style, Ocean Waves beach walk scene, nostalgic teenage romance, gentle ocean waves, soft sunset colors, hand-painted textures, realistic human emotions, coastal town atmosphere","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright fantasy colors, digital effects"
Pom Poko Moon Viewing | Наблюдение за луной Пом Поко,"Studio Ghibli style, Pom Poko tanuki moon viewing scene, seasonal change visualization, Japanese folklore elements, soft watercolor backgrounds, community gathering, hand-painted textures","modern city aesthetic, anime style, 3D CGI, scary horror elements, photorealistic textures, dark themes, digital effects"
Wind Rises Workshop | Мастерская Ветер крепчает,"Studio Ghibli style, The Wind Rises aircraft workshop scene, detailed engineering tools, 1920s aviation aesthetic, soft pencil sketch textures, nostalgic design process, hand-painted backgrounds","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright cheerful colors, digital effects"
Yamadas Breakfast | Завтрак Мои соседи Ямады,"Studio Ghibli style, My Neighbors the Yamadas family breakfast scene, simple food presentation, morning light through windows, minimalist watercolor backgrounds, Japanese daily life moment, gentle humor","detailed animation, anime style, 3D CGI, fantasy elements, photorealistic textures, dramatic action sequences, digital effects"
Earwig Broomstick | Метла Арриетти и ведьма,"Studio Ghibli style, Earwig and the Witch broomstick flying scene, magical house exterior view, floating spell ingredients, detailed night sky, hand-painted textures, European witch aesthetic","dark horror themes, anime style, 3D rendering, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Spirited Away Bathhouse | Баня Унесенных призраками,"Studio Ghibli style, Spirited Away bathhouse interior scene, detailed spirit guests, steam rising from baths, intricate wooden architecture, soft magical lighting, hand-painted watercolor backgrounds","3D CGI rendering, anime style, cartoon comedy, dark mature themes, sharp edges, photorealistic textures, digital effects"
Totoro Garden | Сад Тоторо,"Studio Ghibli style, My Neighbor Totoro garden scene, detailed vegetables growing, soft rain effects, magical dust sprites, nostalgic countryside atmosphere, hand-painted textures","dark horror themes, anime style, 3D CGI, sharp lines, photorealistic textures, cartoon comedy, adult themes"
Mononoke Iron Town | Город металла Принцессы Мононокэ,"Studio Ghibli style, Princess Mononoke Iron Town scene, detailed industrial structures, smoke rising from furnaces, human-nature conflict theme, soft atmospheric perspective, hand-painted backgrounds","modern city aesthetic, anime style, 3D rendering, bright flat colors, cartoon proportions, digital effects, peaceful nature integration"
Howl's Study | Кабинет Ходячего замка,"Studio Ghibli style, Howl's Moving Castle study room scene, detailed spell books, floating papers, magical artifacts, cozy domestic magic, warm lighting, hand-painted textures, European cottage aesthetic","dark dystopian themes, anime style, 3D CGI, sharp mechanical edges, photorealistic textures, cartoon comedy, modern technology"
Ponyo Shoreline | Побережье Поньо,"Studio Ghibli style, Ponyo shoreline scene, detailed ocean waves meeting land, magical water creatures, childlike wonder atmosphere, bright color palette, hand-painted animation, gentle movement","dark mature themes, anime style, 3D rendering, realistic ocean physics, photorealistic textures, adult drama, complex character designs"
Kiki's Room | Комната Кики,"Studio Ghibli style, Kiki's delivery service room scene, small attic space, detailed personal belongings, window view of coastal town, hand-painted textures, nostalgic teenage independence, soft lighting","modern architecture, anime style, 3D CGI, sharp architectural lines, photorealistic textures, dark dramatic themes, cartoon comedy"
Nausicaa Wind Rider | Всадник ветра Навсикая,"Studio Ghibli style, Nausicaa wind rider scene, glider soaring on wind currents, detailed toxic jungle environment, blue dress flowing dramatically, hand-painted backgrounds, spiritual flight theme","urban setting, anime style, 3D rendering, bright cheerful colors, cartoon proportions, modern technology focus, digital effects"
Laputa Mechanical Garden | Механический сад Лапуты,"Studio Ghibli style, Castle in the Sky Laputa mechanical garden scene, ancient robots tending plants, stone structures covered in vines, soft sunlight effects, peaceful technology-nature harmony, hand-painted textures","modern robotics, anime style, 3D CGI, sharp clean lines, photorealistic textures, dark dystopian themes, cartoon comedy"
Fireflies Cave | Пещера Могила светлячков,"Studio Ghibli style, Grave of the Fireflies cave dwelling scene, soft firefly illumination, hand-painted watercolor textures, emotional survival story, wartime Japan setting, gentle atmosphere despite hardship","bright cheerful colors, anime style, 3D rendering, cartoon comedy, magical fantasy elements, digital effects, contemporary setting"
Tokyo Office | Офис Токио Повзрослевшие дети,"Studio Ghibli style, Only Yesterday Tokyo office scene, detailed paperwork, city skyline through windows, nostalgic adult work life, soft color palette, hand-painted textures, realistic human emotions","fantasy landscape, anime style, 3D CGI, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Porco Seaplane Interior | Интерьер гидросамолета Порко Росс,"Studio Ghibli style, Porco Rosso seaplane cockpit scene, detailed 1930s aviation instruments, leather pilot seat, ocean view through windows, hand-painted textures, nostalgic aviation aesthetic","modern jets, anime style, 3D rendering, sharp mechanical designs, photorealistic textures, dark war themes, cartoon comedy"
Antique Clock | Часы Шепот сердца,"Studio Ghibli style, Whisper of the Heart antique clock scene, intricate mechanical details, soft ticking sound visualization, hand-painted textures, nostalgic time passage theme, magical transformation potential","fantasy landscape, anime style, 3D CGI, bright magical effects, cartoon proportions, outdoor adventure setting, digital effects"
Earthsea Castle Ruins | Руины замка Рассказы Земноморья,"Studio Ghibli style, Tales from Earthsea castle ruins scene, ancient stone walls with magical carvings, misty mountain background, soft color palette, European medieval aesthetic, spiritual atmosphere","modern architecture, anime style, 3D rendering, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Arrietty Living Room | Гостиная Арриетти,"Studio Ghibli style, Arrietty borrower's living room scene, matchbox furniture, detailed everyday objects scaled up, soft natural lighting, hand-painted textures, perspective of small creatures, cozy family atmosphere","fantasy landscape, anime style, 3D CGI, magical creatures, cartoon proportions, bright saturated colors, digital effects"
Ocean Waves Train | Поезд Океанские волны,"Studio Ghibli style, Ocean Waves train journey scene, coastal landscape through windows, nostalgic teenage memories, soft pencil sketch aesthetic, detailed train interior, hand-painted textures","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright fantasy colors, digital effects"
Pom Poko Transformation | Трансформация Пом Поко,"Studio Ghibli style, Pom Poko tanuki transformation scene, shape-shifting abilities, soft watercolor backgrounds, Japanese folklore elements, comedic timing, detailed animal expressions","modern city aesthetic, anime style, 3D CGI, scary horror elements, photorealistic textures, dark themes, digital effects"
Wind Rises Caproni | Капрони Ветер крепчает,"Studio Ghibli style, The Wind Rises Caproni aircraft scene, detailed 1920s Italian design, wing construction details, soft pencil sketch textures, nostalgic aviation dreams, hand-painted backgrounds","fantasy elements, anime style, 3D rendering, magical creatures, cartoon proportions, bright cheerful colors, digital effects"
Yamadas Living Room | Гостиная Мои соседи Ямады,"Studio Ghibli style, My Neighbors the Yamadas family living room scene, minimalist watercolor backgrounds, simple character interactions, Japanese daily life moment, gentle humor, soft pastel colors","detailed animation, anime style, 3D CGI, fantasy elements, photorealistic textures, dramatic action sequences, digital effects"
Earwig Potions | Зелья Арриетти и ведьма,"Studio Ghibli style, Earwig and the Witch potion-making scene, bubbling cauldrons, detailed magical ingredients, soft candlelight effects, hand-painted textures, European witch house interior","dark horror themes, anime style, 3D rendering, bright cheerful colors, cartoon comedy, photorealistic textures, digital effects"
Spirited Away Spirit World | Мир духов Унесенных призраками,"Studio Ghibli style, Spirited Away spirit world scene, detailed supernatural beings, soft magical atmosphere, hand-painted watercolor backgrounds, gentle spiritual energy, otherworldly architecture details","3D CGI rendering, anime style, cartoon comedy, dark mature themes, sharp edges, photorealistic textures, digital effects"
Totoro Tree | Дерево Тоторо,"Studio Ghibli style, My Neighbor Totoro giant camphor tree scene, detailed bark texture, hollow interior with Totoro nest, soft moonlight effects, magical forest atmosphere, hand-painted textures","dark horror themes, anime style, 3D CGI, sharp lines, photorealistic textures, cartoon comedy, adult themes"
Mononoke Wolf Gods | Волчий бог Принцессы Мононокэ,"Studio Ghibli style, Princess Mononoke wolf god scene, detailed white wolf spirit Moro, forest deity presence, spiritual atmosphere, hand-painted watercolor backgrounds, nature guardian theme","modern city aesthetic, anime style, 3D rendering, bright flat colors, cartoon proportions, digital effects, human technology focus"
Howl's Transformation | Трансформация Ходячего замка,"Studio Ghibli style, Howl's Moving Castle transformation scene, human to bird form change, magical feather effects, soft watercolor backgrounds, emotional character development, hand-painted animation","dark dystopian themes, anime style, 3D CGI, sharp mechanical edges, photorealistic textures, cartoon comedy, modern technology"
Ponyo Sisters | Сестры Поньо,"Studio Ghibli style, Ponyo sisters underwater scene, detailed ocean spirits, magical water effects, childlike simplicity, bright color palette, hand-painted animation, gentle movement","dark mature themes, anime style, 3D rendering, realistic ocean physics, photorealistic textures, adult drama, complex character designs"
Kiki's Delivery | Доставка Кики,"Studio Ghibli style, Kiki delivery flight scene, detailed package carrying, coastal town below, soft cloud movement, hand-painted watercolor skies, nostalgic service atmosphere, gentle wind effects","modern city aesthetic, anime style, 3D CGI, sharp architectural lines, photorealistic textures, dark dramatic themes, cartoon comedy"
Nausicaa Insect | Насекомое Навсикая,"Studio Ghibli style, Nausicaa Valley of the Wind Ohmu insect scene, giant armored creature with blue eyes, detailed toxic jungle environment, spiritual connection theme, hand-painted backgrounds","urban setting, anime style, 3D rendering, bright cheerful colors, cartoon proportions, modern technology focus, digital effects"
Laputa Crystal | Кристалл Лапуты,"Studio Ghibli style, Castle in the Sky Laputa crystal scene, ancient glowing power source, detailed mechanical integration, soft light effects, peaceful abandonment theme, hand-painted textures","modern technology, anime style, 3D CGI, sharp clean lines, photorealistic textures, dark dystopian themes, cartoon comedy"
