style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Porco Rosso Adriatic Coast | Адриатическое побережье Порко Росс,"стиль Studio Ghibli, сцена Адриатического побережья Порко Росс, гидросамолет 1930-х годов над голубыми водами, винтажная итальянская архитектура, акварельные небеса, ностальгическая авиационная эстетика, романтическая атмосфера","современные технологии, западная мультяшная анимация, 3D рендеринг, резкие механические конструкции, фотореалистичные текстуры, темные военные темы, мультяшная комедия"
Whisper of the Heart Antiques Shop | Магазин антиквариата Шепот сердца,"стиль Studio Ghibli, сцена интерьера антикварного магазина Шепот сердца, детализированные книжные полки, пыльный солнечный свет через окна, трансформация статуи кошки, текстуры ручной росписи, ностальгическая городская Япония","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, яркие магические эффекты, мультяшные пропорции, настройка на открытом воздухе, цифровые эффекты"
Tales from Earthsea Castle | Замок Рассказы Земноморья,"стиль Studio Ghibli, сцена замка Рассказов Земноморья, древние каменные стены с магическими резьбами, туманный горный фон, мягкая цветовая палитра, средневековая европейская эстетика, духовная атмосфера","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Arrietty Borrower's House | Дом заимодавца Арриетти,"стиль Studio Ghibli, сцена миниатюрного дома Арриетти, детализированные повседневные предметы как мебель, потолок из листвы, мягкое естественное освещение, текстуры ручной росписи, перспектива маленьких существ в мире человека","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Ocean Waves Beach | Пляж Океанские волны,"стиль Studio Ghibli, сцена заката на пляже Океанских волн, ностальгический школьный роман, мягкие акварельные небеса, нежные океанские волны, текстуры ручной росписи, реалистичные человеческие эмоции, японский прибрежный город","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие фэнтези цвета, цифровые эффекты"
Pom Poko Tanuki Transformation | Трансформация тануки Пом Поко,"стиль Studio Ghibli, сцена трансформации тануки Пом Поко, мутация енотовидных собак, мягкие акварельные фоны, элементы японского фольклора, комедийный тайминг, детализированные выражения животных, традиционная японская эстетика","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, страшные хоррор элементы, фотореалистичные текстуры, темные темы, цифровые эффекты"
The Wind Rises Aircraft Design | Конструкция самолета Ветер крепчает,"стиль Studio Ghibli, сцена самолетной мастерской Ветер крепчает, детализированные инженерные чертежи, авиационная эстетика 1920-х годов, текстуры мягких карандашных эскизов, ностальгическая сцена снов, фоновые рисунки акварелью, романтическая атмосфера","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие радостные цвета, цифровые эффекты"
My Neighbors the Yamadas Family Life | Семейная жизнь Мои соседи Ямады,"стиль Studio Ghibli, сцена семейной жизни Мои соседи Ямады, минималистичные акварельные фоны, простые дизайны персонажей, моменты повседневной жизни в Японии, мягкий юмор, мягкие пастельные цвета, влияние традиционной манги","детализированная анимация, западная мультяшная анимация, 3D рендеринг, фэнтези элементы, фотореалистичные текстуры, драматические сцены экшен, цифровые эффекты"
Earwig and the Witch Witch House | Дом ведьмы Арриетти и ведьма,"стиль Studio Ghibli, сцена интерьера волшебного дома Арриетти и ведьмы, парящие заклинания, булькающие котлы, детализированные ингредиенты зелий, текстуры ручной росписи, эстетика европейской ведьмы, мягкое магическое освещение","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Spirited Away Train | Поезд Унесенных призраками,"стиль Studio Ghibli, сцена поезда Унесенных призраками, плавное движение через затопленные пейзажи, свет фонарей, мягкое отражение эффектов, атмосфера духовного путешествия, фоновые рисунки акварелью","3D CGI рендеринг, западная мультяшная анимация, мультяшная комедия, темные взрослые темы, резкие края, фотореалистичные текстуры, цифровые эффекты"
Totoro Bus Stop | Остановка Тоторо,"стиль Studio Ghibli, сцена дождя на остановке Тоторо, танцующие духи сажи, момент совместного зонта, эффекты мягкого дождя, текстуры ручной росписи, атмосфера детского волшебства, ностальгическая японская деревня","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, резкие линии, фотореалистичные текстуры, мультяшная комедия, взрослые темы"
Mononoke Emishi Village | Деревня Эмиси Принцессы Мононокэ,"стиль Studio Ghibli, сцена деревни Эмиси Принцессы Мононокэ, древнее японское поселение в лесу, детализированные крыши из соломы, дым, поднимающийся из труб, мягкий утренний туман, гармония с природой, духовная атмосфера","современная архитектура, западная мультяшная анимация, 3D рендеринг, яркие плоские цвета, мультяшные пропорции, цифровые эффекты, фокус на человеческих технологиях"
Howl's Castle Kitchen | Кухня замка Ходячего замка,"стиль Studio Ghibli, сцена кухни замка Ходячего замка, одержимость огня-демона Кальцифер, парящие кастрюли и сковородки, уютная домашняя магия, теплое освещение, текстуры ручной росписи, эстетика европейского коттеджа","темные дистопические темы, западная мультяшная анимация, 3D рендеринг, резкие механические края, фотореалистичные текстуры, мультяшная комедия, современные технологии"
Ponyo Goldfish Transformation | Трансформация золотой рыбки Поньо,"стиль Studio Ghibli, сцена трансформации золотой рыбки Поньо, магические водные эффекты, детализированные океанские волны, детская простота, яркая цветовая палитра, анимация ручной росписи, плавное движение","темные взрослые темы, западная мультяшная анимация, 3D рендеринг, реалистичная физика океана, фотореалистичные текстуры, взрослая драма, сложные дизайны персонажей"
Kiki Flying Over Town | Кики над городом,"стиль Studio Ghibli, сцена полета Кики над прибрежным городом, черный кот Джиджи в компании, мягкое движение облаков, детализированная европейская архитектура внизу, эффекты мягкого ветра, акварельные небеса, ностальгическая летняя атмосфера","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, резкие архитектурные линии, фотореалистичные текстуры, темные драматические темы, мультяшная комедия"
Nausicaa Glider Flight | Полет на планере Навсикая,"стиль Studio Ghibli, сцена полета на планере Навсикая, визуализация воздушных течений, детализированный токсичный лес внизу, синее платье, развевающееся на ветру, фоновые рисунки акварелью, тема гармонии с природой, духовная связь","городская среда, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшные пропорции, фокус на современных технологиях, цифровые эффекты"
Laputa Robot Garden | Сад роботов Лапуты,"стиль Studio Ghibli, сцена роботизированного сада Лапуты, древние механические стражи, покрытые растениями, мягкий солнечный свет через лианы, тема мирного сосуществования, детализированная стимпанк-органическая интеграция, текстуры ручной росписи","современная робототехника, западная мультяшная анимация, 3D CGI, резкие чистые линии, фотореалистичные текстуры, темные дистопические темы, мультяшная комедия"
Fireflies Summer Night | Летняя ночь Могила светлячков,"стиль Studio Ghibli, сцена летней ночи Могилы светлячков, освещение светлячками в пещере, мягкий лунный свет, текстуры акварели, эмоциональные семейные связи, военная ностальгия, нежная атмосфера","яркие радостные цвета, западная мультяшная анимация, 3D рендеринг, мультяшная комедия, магические фэнтези элементы, цифровые эффекты, современный сеттинг"
Tokyo Commute | Поездка в Токио Повзрослевшие дети,"стиль Studio Ghibli, сцена поездки в Токио Повзрослевшие дети, детализированный интерьер поезда, городской пейзаж за окнами, ностальгическая взрослая перспектива, мягкая цветовая палитра, текстуры ручной росписи, реалистичные человеческие эмоции","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Porco Seaplane | Гидросамолет Порко Росс,"стиль Studio Ghibli, сцена винтажного гидросамолета Порко Росс, детализированный дизайн самолета 1930-х годов, Адриатическое побережье внизу, акварельные небеса, ностальгическая авиационная эстетика, романтическая атмосфера, мягкое движение облаков","современные джеты, западная мультяшная анимация, 3D рендеринг, резкие механические конструкции, фотореалистичные текстуры, темные военные темы, мультяшная комедия"
Antique Cat Statue | Статуя кошки Шепот сердца,"стиль Studio Ghibli, сцена трансформации статуи кошки Шепот сердца, лунный свет через окна магазина, эффекты магического свечения, текстуры ручной росписи, ностальгическая городская Япония, духовная связь с царством кошек","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, яркие магические эффекты, мультяшные пропорции, настройка на открытом воздухе, цифровые эффекты"
Earthsea School | Школа Рассказы Земноморья,"стиль Studio Ghibli, сцена волшебной школы Рассказов Земноморья, древняя каменная библиотека, парящие книги заклинаний, мягкое свечение свечей, средневековая европейская эстетика, атмосфера магического обучения, текстуры ручной росписи","современная архитектура, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Arrietty Miniature Kitchen | Миниатюрная кухня Арриетти,"стиль Studio Ghibli, сцена миниатюрной кухни Арриетти, чайные чашки как мебель, детализированные повседневные предметы в увеличенном масштабе, мягкое естественное освещение, текстуры ручной росписи, перспектива маленьких существ, уютная атмосфера","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Ocean Waves School | Школа Океанские волны,"стиль Studio Ghibli, сцена школьного класса Океанских волн, ностальгический школьный роман, эстетика мягких карандашных эскизов, детализированные надписи на партах, текстуры ручной росписи, реалистичные человеческие эмоции, японский прибрежный город","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие фэнтези цвета, цифровые эффекты"
Pom Poko Forest | Лес Пом Поко,"стиль Studio Ghibli, сцена духа леса Пом Поко, существа-тануки в естественной среде обитания, визуализация сезонных изменений, элементы японского фольклора, фоновые рисунки акварелью, экологические темы","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, страшные хоррор элементы, фотореалистичные текстуры, темные темы, цифровые эффекты"
Wind Rises Dream Flight | Полет во сне Ветер крепчает,"стиль Studio Ghibli, сцена полета во сне Ветер крепчает, самолет Капрони, парящий над облаками, текстуры мягких карандашных эскизов, ностальгические авиационные мечты, акварельные небеса, романтическая атмосфера","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие радостные цвета, цифровые эффекты"
Yamadas Bath Time | Время купания Мои соседи Ямады,"стиль Studio Ghibli, сцена семейного купания Мои соседи Ямады, минималистичные акварельные фоны, простые взаимодействия персонажей, момент японской повседневной жизни, мягкий юмор, мягкие пастельные цвета","детализированная анимация, западная мультяшная анимация, 3D рендеринг, фэнтези элементы, фотореалистичные текстуры, драматические сцены экшен, цифровые эффекты"
Earwig Magic Room | Магическая комната Арриетти и ведьма,"стиль Studio Ghibli, сцена магической комнаты Арриетти и ведьмы, парящие музыкальные инструменты, булькающие зелья, детализированные ингредиенты заклинаний, текстуры ручной росписи, эстетика дома европейской ведьмы, мягкое магическое освещение","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Spirited Away Food | Еда Унесенных призраками,"стиль Studio Ghibli, сцена еды Унесенных призраками, детализированные пирожки, мягкий пар, поднимающийся вверх, текстуры ручной росписи, тема духовного питания, теплое освещение, уютная атмосфера","3D CGI рендеринг, западная мультяшная анимация, мультяшная комедия, темные взрослые темы, резкие края, фотореалистичные текстуры, цифровые эффекты"
Totoro House | Дом Тоторо,"стиль Studio Ghibli, сцена сельского японского дома Тоторо, детализированная деревянная конструкция, сад с овощами, мягкий дневной свет, текстуры ручной росписи, ностальгическая атмосфера деревни, комфорт семейного дома","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, резкие линии, фотореалистичные текстуры, мультяшная комедия, взрослые темы"
Mononoke Forest Spirit | Лесной дух Принцессы Мононокэ,"стиль Studio Ghibli, сцена духа леса Принцессы Мононокэ, головы кодама, парящие через древние деревья, мягкий солнечный свет, духовная атмосфера, детализированные текстуры мха и лишайников, тема гармонии окружающей среды","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, яркие плоские цвета, мультяшные пропорции, цифровые эффекты, фокус на человеческих технологиях"
Howl's Flying Scene | Полет Ходячего замка,"стиль Studio Ghibli, сцена полета Ходячего замка, Софи идет по облакам, детализированные эффекты ветра, мягкие акварельные небеса, текстуры ручной росписи, европейская деревня внизу, магическая трансформация","темные дистопические темы, западная мультяшная анимация, 3D рендеринг, резкие механические края, фотореалистичные текстуры, мультяшная комедия, современные технологии"
Ponyo Storm | Шторм Поньо,"стиль Studio Ghibli, сцена океанского шторма Поньо, гигантские волны с глазами рыб, магические водные эффекты, анимация ручной росписи, контраст ярких цветов, атмосфера детского волшебства, плавное движение несмотря на хаос","темные взрослые темы, западная мультяшная анимация, 3D рендеринг, реалистичная физика океана, фотореалистичные текстуры, взрослая драма, сложные дизайны персонажей"
Kiki Bakery | Пекарня Кики,"стиль Studio Ghibli, сцена доставки в пекарню Кики, детализированные сорта хлеба, теплое свечение печи, уютный интерьер европейского магазина, текстуры ручной росписи, ностальгическая атмосфера маленького городка, мягкие взаимодействия с клиентами","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, резкие архитектурные линии, фотореалистичные текстуры, темные драматические темы, мультяшная комедия"
Nausicaa Valley | Долина Навсикая,"стиль Studio Ghibli, сцена долины Навсикаи, гигантские мутантные насекомые мирно пасущиеся, детализированная грибная среда, мягкая атмосферная перспектива, тема баланса окружающей среды, фоновые рисунки акварелью","городская среда, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшные пропорции, фокус на современных технологиях, цифровые эффекты"
Laputa Garden | Сад Лапуты,"стиль Studio Ghibli, сцена сада Лапуты, древние цветы и растения, растущие сквозь камень, механические элементы, покрытые лианами, эффекты мягкого солнечного света, мирное заброшенность, текстуры ручной росписи","современная архитектура, западная мультяшная анимация, 3D рендеринг, резкие чистые линии, фотореалистичные текстуры, темные дистопические темы, мультяшная комедия"
Fireflies Field | Поле Могила светлячков,"стиль Studio Ghibli, сцена поля Могила светлячков, летние травы, мягко колышущиеся на ветру, свечение светлячков на закате, текстуры акварели, эмоциональная связь братьев и сестер, военная ностальгия","яркие радостные цвета, западная мультяшная анимация, 3D рендеринг, мультяшная комедия, магические фэнтези элементы, цифровые эффекты, современный сеттинг"
Tokyo Apartment | Квартира Токио Повзрослевшие дети,"стиль Studio Ghibli, сцена токийской квартиры Повзрослевшие дети, детали маленькой жилплощади, вид города из окна, ностальгическая взрослая жизнь, мягкая цветовая палитра, текстуры ручной росписи, реалистичные пропорции человека","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Porco Cafe | Кафе Порко Росс,"стиль Studio Ghibli, сцена кафе на Адриатическом побережье Порко Росс, винтажный интерьер 1930-х годов, детализированные чашки для кофе, вид моря через окна, текстуры ручной росписи, ностальгический авиационный роман, мягкое освещение","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, резкие архитектурные линии, фотореалистичные текстуры, темные военные темы, мультяшная комедия"
Antique Bookshop | Книжный магазин Шепот сердца,"стиль Studio Ghibli, сцена интерьера антикварной книжной лавки Шепот сердца, детализированные книжные полки, пылинки в солнечном свете, текстуры старой бумаги, ностальгическая литературная атмосфера, фоновые рисунки акварелью","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, яркие магические эффекты, мультяшные пропорции, настройка на открытом воздухе, цифровые эффекты"
Earthsea Harbor | Гавань Рассказы Земноморья,"стиль Studio Ghibli, сцена гавани Рассказов Земноморья, средневековые корабли у причала, каменные здания с магическими резьбами, эффекты мягкого тумана, фоновые рисунки акварелью, европейская прибрежная эстетика","современный порт, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Arrietty Bedroom | Спальня Арриетти,"стиль Studio Ghibli, сцена спальни Арриетти, кровать из наперстка, украшения из пуговиц, покрытия окон из листьев, мягкое естественное освещение, текстуры ручной росписи, миниатюрная перспектива, уютная атмосфера","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Ocean Waves Beach Walk | Прогулка по пляжу Океанские волны,"стиль Studio Ghibli, сцена прогулки по пляжу Океанских волн, ностальгический подростковый роман, нежные океанские волны, мягкие цвета заката, текстуры ручной росписи, реалистичные человеческие эмоции, атмосфера прибрежного города","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие фэнтези цвета, цифровые эффекты"
Pom Poko Moon Viewing | Наблюдение за луной Пом Поко,"стиль Studio Ghibli, сцена наблюдения за луной Пом Поко, визуализация смены сезонов, элементы японского фольклора, мягкие акварельные фоны, собрание сообщества, текстуры ручной росписи","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, страшные хоррор элементы, фотореалистичные текстуры, темные темы, цифровые эффекты"
Wind Rises Workshop | Мастерская Ветер крепчает,"стиль Studio Ghibli, сцена самолетной мастерской Ветер крепчает, детализированные инструменты, авиационная эстетика 1920-х годов, текстуры мягких карандашных эскизов, ностальгический процесс дизайна, фоновые рисунки акварелью","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие радостные цвета, цифровые эффекты"
Yamadas Breakfast | Завтрак Мои соседи Ямады,"стиль Studio Ghibli, сцена семейного завтрака Мои соседи Ямады, простое представление еды, утренний свет через окна, минималистичные акварельные фоны, момент японской повседневной жизни, мягкий юмор","детализированная анимация, западная мультяшная анимация, 3D рендеринг, фэнтези элементы, фотореалистичные текстуры, драматические сцены экшен, цифровые эффекты"
Earwig Broomstick | Метла Арриетти и ведьма,"стиль Studio Ghibli, сцена полета на метле Арриетти и ведьмы, вид экстерьера волшебного дома, парящие ингредиенты заклинаний, детализированное ночное небо, текстуры ручной росписи, эстетика европейской ведьмы","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Spirited Away Bathhouse | Баня Унесенных призраками,"стиль Studio Ghibli, сцена интерьера бани Унесенных призраками, детализированные гостьи-духи, пар, поднимающийся из ванн, сложная деревянная архитектура, мягкое магическое освещение, фоновые рисунки акварелью","3D CGI рендеринг, западная мультяшная анимация, мультяшная комедия, темные взрослые темы, резкие края, фотореалистичные текстуры, цифровые эффекты"
Totoro Garden | Сад Тоторо,"стиль Studio Ghibli, сцена сада Тоторо, детализированные овощи, растущие в саду, эффекты мягкого дождя, магические духи пыли, ностальгическая атмосфера деревни, текстуры ручной росписи","темные хоррор темы, западная мультяшная анимация, 3D рендеринг, резкие линии, фотореалистичные текстуры, мультяшная комедия, взрослые темы"
Mononoke Iron Town | Город металла Принцессы Мононокэ,"стиль Studio Ghibli, сцена города металла Принцессы Мононокэ, детализированные промышленные конструкции, дым, поднимающийся из печей, тема конфликта человека и природы, мягкая атмосферная перспектива, фоновые рисунки акварелью","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, яркие плоские цвета, мультяшные пропорции, цифровые эффекты, мирная интеграция природы"
Howl's Study | Кабинет Ходячего замка,"стиль Studio Ghibli, сцена кабинета Ходячего замка, детализированные книги заклинаний, парящие бумаги, магические артефакты, уютная домашняя магия, теплое освещение, текстуры ручной росписи, эстетика европейского коттеджа","темные дистопические темы, западная мультяшная анимация, 3D рендеринг, резкие механические края, фотореалистичные текстуры, мультяшная комедия, современные технологии"
Ponyo Shoreline | Побережье Поньо,"стиль Studio Ghibli, сцена побережья Поньо, детализированные океанские волны, встречающиеся с землей, магические водные существа, атмосфера детского волшебства, яркая цветовая палитра, анимация ручной росписи, плавное движение","темные взрослые темы, западная мультяшная анимация, 3D рендеринг, реалистичная физика океана, фотореалистичные текстуры, взрослая драма, сложные дизайны персонажей"
Kiki's Room | Комната Кики,"стиль Studio Ghibli, сцена комнаты Кики, маленькое чердачное пространство, детализированные личные вещи, вид прибрежного города из окна, текстуры ручной росписи, ностальгическая подростковая независимость, мягкое освещение","современная архитектура, западная мультяшная анимация, 3D рендеринг, резкие архитектурные линии, фотореалистичные текстуры, темные драматические темы, мультяшная комедия"
Nausicaa Wind Rider | Всадник ветра Навсикая,"стиль Studio Ghibli, сцена всадника ветра Навсикаи, планер, парящий на воздушных течениях, детализированная среда токсичного леса, синее платье, эффектно развивающееся на ветру, фоновые рисунки акварелью, тема духовного полета","городская среда, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшные пропорции, фокус на современных технологиях, цифровые эффекты"
Laputa Mechanical Garden | Механический сад Лапуты,"стиль Studio Ghibli, сцена механического сада Лапуты, древние роботы, ухаживающие за растениями, каменные конструкции, покрытые лианами, эффекты мягкого солнечного света, мирная гармония технологий и природы, текстуры ручной росписи","современная робототехника, западная мультяшная анимация, 3D рендеринг, резкие чистые линии, фотореалистичные текстуры, темные дистопические темы, мультяшная комедия"
Fireflies Cave | Пещера Могила светлячков,"стиль Studio Ghibli, сцена пещеры Могила светлячков, мягкое освещение светлячками, текстуры акварели, эмоциональная история выживания, сеттинг военной Японии, нежная атмосфера несмотря на трудности","яркие радостные цвета, западная мультяшная анимация, 3D рендеринг, мультяшная комедия, магические фэнтези элементы, цифровые эффекты, современный сеттинг"
Tokyo Office | Офис Токио Повзрослевшие дети,"стиль Studio Ghibli, сцена токийского офиса Повзрослевшие дети, детализированные документы, городской пейзаж за окнами, ностальгическая взрослая работа, мягкая цветовая палитра, текстуры ручной росписи, реалистичные человеческие эмоции","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Porco Seaplane Interior | Интерьер гидросамолета Порко Росс,"стиль Studio Ghibli, сцена кокпита гидросамолета Порко Росс, детализированные авиационные инструменты 1930-х годов, кожаное кресло пилота, вид океана через окна, текстуры ручной росписи, ностальгическая авиационная эстетика","современные джеты, западная мультяшная анимация, 3D рендеринг, резкие механические конструкции, фотореалистичные текстуры, темные военные темы, мультяшная комедия"
Antique Clock | Часы Шепот сердца,"стиль Studio Ghibli, сцена антикварных часов Шепот сердца, детализированные механические части, визуализация мягкого тиканья, текстуры ручной росписи, ностальгическая тема течения времени, потенциал магической трансформации","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, яркие магические эффекты, мультяшные пропорции, настройка на открытом воздухе, цифровые эффекты"
Earthsea Castle Ruins | Руины замка Рассказы Земноморья,"стиль Studio Ghibli, сцена руин замка Рассказов Земноморья, древние каменные стены с магическими резьбами, туманный горный фон, мягкая цветовая палитра, средневековая европейская эстетика, духовная атмосфера","современная архитектура, западная мультяшная анимация, 3D рендеринг, яркие радостные цвета, мультяшная комедия, фотореалистичные текстуры, цифровые эффекты"
Arrietty Living Room | Гостиная Арриетти,"стиль Studio Ghibli, сцена гостиной Арриетти, мебель из спичечных коробков, детализированные повседневные предметы в увеличенном масштабе, мягкое естественное освещение, текстуры ручной росписи, перспектива маленьких существ, уютная семейная атмосфера","фэнтези пейзаж, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие насыщенные цвета, цифровые эффекты"
Ocean Waves Train | Поезд Океанские волны,"стиль Studio Ghibli, сцена поездной поездки Океанские волны, прибрежный пейзаж за окнами, ностальгические подростковые воспоминания, эстетика мягкого карандашного эскиза, детализированный интерьер поезда, текстуры ручной росписи","фэнтези элементы, западная мультяшная анимация, 3D рендеринг, магические существа, мультяшные пропорции, яркие фэнтези цвета, цифровые эффекты"
Pom Poko Transformation | Трансформация Пом Поко,"стиль Studio Ghibli, сцена трансформации Пом Поко, способности к изменению формы, мягкие акварельные фоны, элементы японского фольклора, комедийный тайминг, детализированные выражения животных","современная городская эстетика, западная мультяшная анимация, 3D рендеринг, страшные хоррор элементы, фотореалистичные текстуры, темные темы, цифровые эффекты"
